"FeatureClass	FeatureCode	Navn	Merknad	BokmÌ´l	Nynorsk	Kvensk	Finsk	Engelsk";
"H	ESTY	estuary	a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences	elvemunning	elvemunning	jovensuu	joen suu	estuary";
"H	FISH	fishing area	a fishing ground, bank or area where fishermen go to catch fish	fiskeomrÌ´de	fiskeomrÌ´de	pyytÌ¦ala	kalastusalue	fishing area";
"H	FJD	fjord	a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts	fjord	fjord	vuono	vuono	fjord";
"H	FJDS	fjords	long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts	fjorder	fjordar	vuonot	vuonot	fjords";
"H	FLLS	waterfall(s)	a perpendicular or very steep descent of the water of a stream	foss	foss	kurkkii	vesiputous	waterfall";
"H	FLLSX	section of waterfall(s)		del av foss	del av foss	kurkkiin osa	vesiputouksen osa	section of waterfall";
"H	FLTM	mud flat(s)	a relatively level area of mud either between high and low tide lines, or subject to flooding	slamomrÌ´de	slamomrÌ´de	rÌ_ssi	lietealue	mud flat";
"H	FLTM	mud flat(s)	a relatively level area of mud either between high and low tide lines, or subject to flooding	slamomrÌ´de	slamomrÌ´de	liete	lietealue	mud flat";
"H	FLTT	tidal flat(s)	a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide	tidevannsomrÌ´de	tidevassomrÌ´de	vuorovesi-ala	vuorovesialue	tidal flat";
"H	GLCR	glacier(s)	a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses	isbre	isbre	jÌ_Ì_tikkÌ¦	jÌ_Ì_vuori	glacier";
"H	GULF	gulf	a large recess in the coastline, larger than a bay	golf	golf	lahti	lahti	gulf";
"H	GYSR	geyser	a type of hot spring with intermittent eruptions of jets of hot water and steam	geysir	geysir	geisiri	geisir	geyser";
"H	HBR	harbor(s)	a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships	havn	hamn	hamina	satama	harbour";
