"Lemma","POS","trans","tPOS","1stamme","2stamme","syntrans","syntransPOS","syntrans2","syntrans2POS","syntrans3","syntrans3POS","syneks","syneks2","syneks3"
"tuntematon","adj","ukjent",,"tuntemattoma-","-",,,,,,,,,
"pölynen","adj","støvet",,"pölyse-","pölys-",,,,,,,,,
"vapaehtonen","adj","frivillig",,"vapaehtose-","vapaehtos-",,,,,,,,,
"tihhee","adj","tett",,"-","-",,,,,,,,,
"kylmetty","adj","frosen","a1","kylmety-","-",,,,,,,,,
"viralinen","adj","offisiel|l","a1","viralise-","viralis-",,,,,,,,,
"kaitanen","adj","smal","a1","kaitase-","kaitas-",,,,,,,,,
"tytyväinen","adj","fornøyd",,"tytyväise-","tytyväis-",,,,,,,,,
"tuhat","adj","tusen","m","tuhanne-","-",,,,,,,,,
"loppumaton","adj","uendelig",,"loppumattoma-","-",,,,,,,,,
"tuollainen","adj","sånn der",,"tuollaise-","tuollais-",,,,,,,,,
"kukkanen","adj","blomstret –e",,"kukkase-","kukkas-",,,,,,,,,
"terävä","adj","kvass","a1","-","-",,,,,,,,,
"vapaa","adj","fri –tt",,"-","-","ledig",,,,,,,,
"viaton","adj","uskyldig",,"viattoma-","-",,,,,,,,,
"vaaleepunanen","adj","lyserød","a1","vaaleepunase-","vaaleepunas-",,,,,,,,,
"lama","adj","mager","a1","lamma-",,,,,,,,,,
"vasempi","adj","venstre",,"vasemma-","vasemppa-",,,,,,,,,
"veres","adj","fersk","a1","verhee-","-",,,,,,,,,
"puolihintanen","adj","halvpris",,"puolihintase-","puolihintas-",,,,,,,,,
"tuhanen","adj","tusen","m","tuhase-","tuhat-",,,,,,,,,
"liukas","adj","glatt",,"liukhaa-","-","sleip",,,,,,,,
"täyðelinen","adj","fullstendig",,"täyðelise-","täyðelis-","komplett",,,,,,,,
"ahnee","adj","gjerrig",,"-","-",,,,,,,,,
"murree","adj","mør","a1","-","-",,,,,,,,,
"nuori","adj","ung","a1","nuore-","nuor-",,,,,,,,,
"färitön","adj","fargeløs","a1","färittömä-","-",,,,,,,,,
"laiska","adj","lat",,"-","-","doven",,,,,,,,
"viralinen","adj","offisiel|l","a1","viralise-","viralis-",,,,,,,,,
"tämä","adj","den (her)",,"tä-",,"denne (her)","d","dette (her)",,,,,,
"sosiaalinen","adj","sosial","a1","sosiaalise-","sosiaalis-",,,,,,,,,
"ehtoolinen","adj","nattverd","m","ehtoolise-","ehtoolis-",,,,,,,"rippi",,
"salanen","adj","hemmelig",,"salase-","salas-",,,,,,,,,
"noppee","adj","snar",,"-","-","rask",,"hurtig",,,,,,
"vaikkee","adj","vanskelig",,"-","-",,,,,,,,,
"rehelinen","adj","oppriktig",,"rehelise-","rehelis-","redelig",,"ærlig",,,,,,
"kummalinen","adj","merkelig",,"kummalise-","kummalis-","rar",,"underlig",,,,,,
"kumma","adj","merkelig",,"-","-","rar",,"underlig",,,,,,
