"Lemma","POS","trans","tPOS","1stamme","2stamme","syntrans","syntransPOS","syntrans2","syntrans2POS","syntrans3","syntrans3POS","syneks","syneks2","syneks3"
"vaimoihminen","subst","dam|e","f","vaimoihmise-","vaimoihmis-","kvinn|e","f",,,,,,,
"käpälä","subst","neve","m","-","-","labb","m",,,,,,,
"ilmotus","subst","melding","f","ilmotukse-","-","kunngjøring","f","opplysning","f",,,,,
"pakkaslumi","subst","kaldsnø","m","pakkaslume-","pakkaslun-","kuldesnø","m",,,,,,,
"pari","subst","par","n","-","parri-",,,,,,,"Mie olin sielä pari päivää",,
"jääkäri","subst","jeger","m","-","-",,,,,,,,,
"räkinki","subst","regning","f","räkingi-","räkinkki-",,,,,,,,,
"konsti","subst","knep","n","-","-","kunst","m","utvei","m",,,,,
"postinkanttaaja","subst","postbud","n","-","-","landpostbud","n",,,,,,,
"maa","subst","jord","f","-","-","land","n",,,,,,,
"lantalainen","subst","kvæn","m","lantalaise-",,"lantalais-",,"ikke-same",,,,,,
"ranka","subst","strang","m","ranga-","rankka-","langved","m",,,,,,,
"ruokkotytär","subst","fosterdatter","m","ruokkotyttäre-","-",,,,,,,,,
"pahka","subst","rirkul|e","f","paha-","-","kåte","m",,,,,,,
"kvääninkieli","subst","kvænsk",,"kvääninkiele-","kvääninkiel-","kvænsk språk",,,,,,,,
"kainhuunkieli","subst","kvænsk",,"kainhuunkiele-","kainhuunkiel-","kvænsk språk",,,,,,,,
"kokonhaisuus","subst","helhet","f","kokonhaisuuðe-","-",,,,,,,,,
"luova","subst","høystakk","m","-","-",,,,,,,"saura",,
"arkipäivä","subst","hverdag","m","-","-",,,,,,,,,
"terä","subst","knivsegg","m","-","terrä-","knivblad","n",,,,,,,
"kujeri","subst","svele -n",,"-","-",,,,,,,"kuuja",,
"kruusikuppi","subst","porselenskopp","m","kruusikupi-","-","krus","n",,,,,,,
"nulkka","subst","trav","n","nulka-","-",,,,,,,,,
"sopimus","subst","avtale","m","sopimukse-","-","kontrakt","m",,,,,"kontrakti",,
"ruojus","subst","skoskaft","n","ruojhuu-","-","komagskaft","n",,,,,,,
"tieva","subst","haug","m","-","-","kolle","m","ås","m",,,,,
"takki","subst","jakk|e","f","taki-","-","koft|e","f",,,,,,,
"puulämmitys","subst","vedfyring","f","puulämmitykse-","-",,,,,,,,,
"soppiit","subst","passe",,"sovi-","sopi-","komme overens",,,,,,,,
"elämä","subst","liv","n","-","-",,,,,,,,,
"hiki","subst","dugg","m","hije-","hikke-",,,,,,,,,
"haka","subst","hasp","m","haa-","hakka-","krok","m",,,,,,,
"järviahven","subst","abbor","m","järviahvene-","-",,,,,,,,,
"variksenmarja","subst","krøkebær","f","-","-","kråkebær","f","krekling","m",,,,,
"kyset","subst","spørsmål","n","kyshee-","-",,,,,,,,,
"krampuoði","subst","butikk","m","-","krampuotti-","krambod","m",,,,,,,
"kota","subst","koi|e","f","koða-",,"kotta-",,"gamme",,,,,,
"hurttiiruutta","subst","hurtigrut|e","f","hurttiiruuta-","-",,,,,,,,,
"krookki","subst","haspe","m","krooki-","-","krok","m",,,,,,,
"elläin","subst","husdyr","n","elläime-","-","kreatur","n",,,,,,,
"sorkka","subst","saueklo","f","sorka-","-",,,,,,,,,
"muurhainen","subst","maur","m","muurhaise-","muurhais-",,,,,,,,,
"tiistai","subst","tirsdag","m","-","-",,,,,,,,,
"sää","subst","vær","n","-","-",,,,,,,,,
"fierva","subst","fjær|e","f","-","-",,,,,,,"laskuvesi",,
"haisuheinä","subst","luktegress","n","-","-","marigress","n",,,,,,,
"korento","subst","åk","n","korenno-","korentto-",,,,,,,,,
"pieru","subst","fjert","m","-","-",,,,,,,,,
"oppi","subst","lær|e","f","opi-",,"lærdom –men","-",,,,,,,
"korva","subst","øre","n","-","-","liten foss",,,,,,,,
"puoti","subst","bod","m","puoði-","puotti-","magasin","n",,,,,,,
"ovireikä","subst","døråpning","f","ovireiä-","ovireikkä-",,,,,,,,,
"luosko","subst","brøstferdig båt","m","-","-","lørj|e","f",,,,,,,
"sanoma","subst","budskap","n","-","-","melding","f","tiende","n",,,,,
"mella","subst","brink","m","-","-","mel","m",,,,,,,
"poika","subst","gutt","m","poja-","poikka-",,,,,,,,,
"hietaläjä","subst","sanddunge","m","-","-",,,,,,,,,
"vahinko","subst","skade","m","vahingo-","vahinkko-","men","n","ulykk|e","f",,,,,
"valttii","subst","stat","m","-","-",,,,,,,,,
"koipi","subst","skank","m","koive-","koippe-","skankehud","m",,,,,,,
"mato","subst","makk","m","maðo-","matto-","mark","m",,,,,,,
"pulitiikkari","subst","politiker","m","-","-",,,,,,,,,
"koiras","subst","hann","m","koirhaa-","-",,,,,,,,,
"liemi","subst","buljong","m","lieme-","lien-","kjøttkraft","f",,,,,,,
"fiera","subst","fjær","f","-","-",,,,,,,,,
"luuta","subst","kost","m","luuða-","luutta-","lime","m",,,,,,,
"ilo","subst","glede","m","-","illo-","lykke","m",,,,,,,
"eno","subst","morbror","m","-","enno-","onkel","m",,,,,,,
"saarukainen","subst","liten holme",,"saarukaise-","saarukais-","liten øy",,,,,,,,
"lappii","subst","spade","m","-","-",,,,,,,,,
"hella","subst","hell|e","f","-","-",,,,,,,,,
"muijoilla","subst","smile",,"muijoile-","muijoil-","le",,,,,,,,
"homet","subst","mugg","n","homhee-","-",,,,,,,,,
"kotityö","subst","hjemarbeid","n","-","-","leks|e","f",,,,,,,
"kappalet","subst","stykke","n","kappalhee-","-","leks|e","f",,,,,,,
"tuuri","subst","tur","m","-","-","lykke","m",,,,,,,
"niva","subst","stryk","n","-","nivva-",,,,,,,,,
"loistet","subst","skinn","n","loisthee-","-","lys","n",,,,,,,
"hietalaatas","subst","sandmo","m","hietalaathaa-","-","sandslett|e","f",,,,,,,
"suu","subst","munn","m","-","-","munning","m","elveos","m",,,,,
"nikkeli","subst","nikkel","m","-","-",,,,,,,,,
"vyö","subst","belte","n","-","-","livreim","f",,,,,,,
"luku","subst","tall","n","luvu-","lukku-","antall","n","kapittel","n",,,,,
"ääni","subst","stemme","m","ääne-","ään-","lyd","m",,,,,,,
"pakka","subst","pakk|e","f","paka-","-",,,,,,,,,
"keppotauti","subst","lungesykdom –men",,"keppotauði-","keppotautti-","lungebetennelse","m",,,,,,,
"heimo","subst","stamme","m","-","-","stammefolk","n",,,,,,,
"kuurto","subst","støtt|e","f","kuurro-","kuurtto-","stag","n",,,,,,,
"läjä","subst","haug","m","läjjä-","-","stabel","m",,,,,,,
"sonnustaat","subst","løfte skjørt/bukse med belte",,"-","-","stramme noe hårdt",,,,,,,,
"askelet","subst","trinn","n","askelhee-",,"steg","-",,,,,,,
"valtakunta","subst","rike","n","valtakunna-","valtakuntta-","stat","m",,,,,"Kruunu",,
"vika","subst","feil","m","via-","vikka-","men","n","skade","m",,,,,
"rako","subst","revn|e","f","rao-","rakko-","sprekk","m",,,,,,,
"takka","subst","peis","m","taka-","-","ildsted","n",,,,,,,
"möötti","subst","møte","n","mööti-","-",,,,,,,,,
"lintu","subst","fugl","m","linnu-","linttu-",,,,,,,,,
"viina","subst","brennevin – en",,"-","-","sprit","m",,,,,,,
"petakokikki","subst","pedagogikk","m","petakokiki-","-",,,,,,,,,
"koskelo","subst","fiskeand",,"-","-","stokkand",,,,,,"suorsa",,
"paino","subst","vekt","f","-","-","press","n","trykk","n",,,,,
"kurkku","subst","hals","m","kurku-","-","strupe","m",,,,,,,
"raita","subst","rand","f","raiða-","raitta-","strip|e","f",,,,,,,
"nousu","subst","oppgang","m","-","-","stigning","f",,,,,,,
"pispa","subst","biskop","m","-","-",,,,,,,,,
"hoito","subst","pleie","m","hoiðo-","hoitto-","stell","n",,,,,,,
"varras","subst","pinn|e","m","varthaa-","-","stokk","m",,,,,,,
"lamppu","subst","lamp|e","f","lampu-","-",,,,,,,,,
"keppi","subst","kjepp","m","kepi-","-","stokk","m","stav","m",,,,,
"heinäaika","subst","høyonn","f","heinäaia-","heinäaikka-","slåttonn","f",,,,,,,
"teevee","subst","TV","m","-","-",,,,,,,,,
"kaari","subst","bue","m","-","-","spant","m",,,,,,,
"voileipä","subst","smørbrød","n","voileivä-","voileippä-",,,,,,,,,
"liekki","subst","flamme","m","lieki-","-","ild","m",,,,,,,
"laatas","subst","mo",,"laathaa-","-","slette",,,,,,,,
"västäräkki","subst","linerl|e","f","västäräki-","-",,,,,,,,,
"sleka","subst","slegg|e","f","-",,"slekka-",,,,,,"mookari",,
"korkkeus","subst","høyd|e","f","korkkeuðe-","-",,,,,,,,,
"hijomakivi","subst","hein|e","f","hijomakive-","hijomakivve-","slipestein","m",,,,,,,
"Raironjärvi","subst","Leirbotnvann","n","Raironjärve-","Raironjärve-",,,,,,,,,
"pylly","subst","bak","m","-","-","ræv","f",,,,,,,
"sortti","subst","slag","n","sorti-","-","sort","m",,,,,,,
"pilkka","subst","hån","m","pilka-","-","spott","m",,,,,,,
"rippikoulu","subst","konfirmasjonsundervisning","f","-","-",,,,,,,,,
"itu","subst","groe","m","iðu-","ittu-","spire","m",,,,,,,
"kasterooli","subst","kasserolle","m","-","-",,,,,,,,,
"myllykivi","subst","møllestein","m","myllykive-","myllykivve-",,,,,,,,,
"sanka","subst","handtak","n","sanga-","sankka-",,,,,,,,,
"skuutteri","subst","skuter","m","-","-","snøskuter","m",,,,,,,
"pöly","subst","støv","n","-","pölly-",,,,,,,,,
"kivimuuri","subst","steinmur","m","-","-",,,,,,,,,
"iltaruska","subst","aftenrød","m","-","-",,,,,,,,,
"pio","subst","neve","m","-","-","håndflat|e","f",,,,,"kämmen",,
"prinsippi","subst","prinsipp","n","prinsipi-","-",,,,,,,,,
"rassuu","subst","fett","n","-","-","talg","m","stearin","n",,,,,
"muna","subst","egg","n","-","munna-",,,,,,,,,
"ruska","subst","morgenrød","m","-","-","høstfarge","m",,,,,,,
"homma","subst","arbeid","n","-","-","syssel","n",,,,,,,
"päänsärky","subst","hodepin|e","f","päänsärvy-","päänsärkky-",,,,,,,,,
"nousuvesi","subst","flo","f","nousuveðe-","nousuvet-","høyvann","n",,,,,"ulli",,
"saviruuho","subst","høymol","f","-","-","høymuggel","m",,,,,,,
"pyhävaatet","subst","finklær",,"pyhävathee-","-","søndagsklær",,,,,,,,
"kauppa","subst","butikk","m","kaupa-","-","forretning","f",,,,,,,
"kuu","subst","fett","n","-","-","talg","m",,,,,,,
"saarnaaja","subst","predikant","m","-","-","taler","m",,,,,,,
"vatukka","subst","åkerbær","f","vatuka-","-",,,,,,,"mesimarja",,
"uuni","subst","ovn","m","uuni-",,,"-",,,,,,,
"hammasmato","subst","tannråt|e","f","hammasmaðo-","hammasmatto-","tannmakk","m",,,,,,,
"lanka","subst","garn","n","langa-","lankka-","tråd","m",,,,,,,
"makkee","subst","godteri","n","-","-","søtsak","m",,,,,,,
"loka","subst","skit","m","lova-","-","søl|e","f",,,,,,,
"alushousut","subst","underbukser",,"-","-",,,,,,,,,
"orsi","subst","bjelk|e","f","orre-","ort-","taksperr|e","f",,,,,,,
"otet","subst","grep","n","othee-","-","tak","n",,,,,,,
"psykolooki","subst","psykolog","m","-","-",,,,,,,,,
"räntty","subst","rent|e","f","ränty-","-",,,,,,,,,
"sieni","subst","sopp","m","siene-","-","svamp","m",,,,,,,
"asumapaikka","subst","bosted","n","asumapaika-","-",,,,,,,,,
"palanen","subst","bit","m","palase-","palas-","stykke","n",,,,,,,
"kassuutus","subst","oppfostring","f","kassuutukse-","-",,,,,,,,,
"ulli","subst","flo","f","-","-","høyvann","n",,,,,"nousuvesi",,
"pänkärä","subst","brådyp","n","-","-","strøm –men",,,,,,,,
"löyly","subst","damp","m","-","-","os","m",,,,,"höyry",,
"opiskelija","subst","studerende","m","-","-","student","m",,,,,,,
"tupa","subst","hus","n","tuva-","tuppa-","stu|e","f",,,,,,,
"kallio","subst","klippe","m","-","-","svaberg","n",,,,,,,
"kehno","subst","svak",,"-","-",,,,,,,,,
"lastipiili","subst","lastebil","m","-","-",,,,,,,,,
"piffi","subst","biff","m","-","-",,,,,,,,,
"parvi","subst","stim – en",,"parve-","parve-","sverm","m",,,,,,,
"sananjohtaaja","subst","ordfører","m","-","-",,,,,,,,,
"voima","subst","kraft","f","-","-","styrke","m",,,,,,,
"ohjaus","subst","ledning","f","ohjaukse-","-","styring","f",,,,,,,
"keitto","subst","oppkok","n","keito-","-","supp|e","f",,,,,,,
"nätäkeli","subst","kladdeføre","n","nätäkelli-",,,,,,,,,,
"ovensuu","subst","døråpning","f","-","-",,,,,,,,,
"pata","subst","gryt|e","f","paða-","patta-","jerngryt|e","f",,,,,,,
"hylly","subst","hyll|e","f","-","-","reol","m",,,,,,,
"luoma","subst","renning","f","-",,"rennetråd",,,,,,,,
"liikutus","subst","bevegelse","m","liikutukse-","-","rørelse","m",,,,,,,
"krannitalo","subst","nabogård","m","-","krannitallo-",,,,,,,,,
"naali","subst","fjellrev","m","-","-",,,,,,,"napakettu",,
"numero","subst","nummer","n","-","-",,,,,,,,,
"miljunääri","subst","millionær","m","-","-",,,,,,,,,
"rauhankirkonmenot","subst","fredsgudstjeneste -n",,"-","-",,,,,,,"rauhanjumalanpalvelus",,
"reki","subst","slede","m","ree-",,"rekke-",,,,,,,,
"iltapäivä","subst","ettermiddag","m","-","-",,,,,,,,,
"ajelu","subst","kjøretur","m","-",,"-",,,,,,,,
"teerni","subst","kjelost","m","-","-","råmelkspudding","m",,,,,,,
"tuhka","subst","aske","m","tuha-","-","sot","n",,,,,,,
"lappi","subst","lappisk",,"lapi-","-","samisk",,,,,,,,
"palkheet","subst","blåsebelg","m","palkhee-","-",,,,,,,,,
"auringonlasku","subst","solnedgang","m","-","-",,,,,,,,,
"paulakenkä","subst","bandsko","m","paulakengä-",,"paulakenkkä-",,"komager",,"skaller",,,,
"moska","subst","blanding","f","-","-","rot","n","surr","n","kaos","n",,,
"materi","subst","svovel","m","-","-","ripeflat|e","f",,,,,,,
"perset","subst","rump|e","f","pershee-","-","ræv","f",,,,,,,
"kylkiluu","subst","sidebein","n","-","-",,,,,,,,,
"ryyppö","subst","sup","m","ryypö-","-","drink","m",,,,,,,
"murkina","subst","middag","m","-","-",,,,,,,,,
"skenkki","subst","gave","m","skenki-",,"presang","-",,,,,"kenkki",,
"joulupukki","subst","julebukk","m","joulupuki-",,"julenisse","-",,,,,,,
"päälihuuli","subst","overlepp|e","f","päälihuule-","päälihuul-",,,,,,,,,
"koristus","subst","pynt","m","koristukse-","-","pryd","m",,,,,,,
"markkina","subst","marked","n","-","-",,,,,,,,,
"putaattikuokka","subst","potetgrev","n","putaattikuoka-","-","potethakk|e","f",,,,,,,
"pieli","subst","karm","m","piele-","piel-","post","m",,,,,,,
"kenkki","subst","gave","m","kenki-","-","presang","m",,,,,"skenkki",,
"jänkkä","subst","myr","f","jänkä-","-",,,,,,,,,
"saarna","subst","tale","m","-","-","preken","n",,,,,,,
"flanelli","subst","flanell","m","-","-",,,,,,,,,
"heinäkuu","subst","høymåned","m","-",,"juli",,,,,,,,
"vähentäminen","subst","minskning","f","vähentämise-","vähentämis-","redusering","f",,,,,,,
"kiikari","subst","kikkert","m","-","-",,,,,,,,,
"traasu","subst","trase","m","-","traassu-",,,,,,,,,
"metto","subst","tiur","m","-","-",,,,,,,,,
"tila","subst","anledning","f","-","tilla-",,,,,,,,,
"villalanka","subst","ulltråd","m","villalanga-","villalankka-",,,,,,,,,
"juomaklasi","subst","drikkeglass","n","-","juomaklassi-",,,,,,,,,
"liivi","subst","liv","n","-","-","vest","m",,,,,,,
"ikäraja","subst","aldersgrens|e","f","-","-",,,,,,,,,
"kouluhomma","subst","skolearbeid","n","-","-","skolesyssel","m",,,,,,,
"loppakenkä","subst","sko som ikke er knytt",,"loppakengä-","loppakenkkä-","sko på bare føtter",,,,,,,,
"vatta","subst","mage","m","-","-",,,,,,,,,
"lovi","subst","hakk","n","love-","lovve-","skår","n",,,,,,,
"sparkki","subst","sparkstøtting","f","sparki-","-",,,,,,,,,
"rupi","subst","rur","m","ruve-","ruppe-","skorp|e","f",,,,,,,
"huivi","subst","tørkle","n","huive-","-","skjerf","n",,,,,,,
"risu","subst","ris","n","-","rissu-",,,,,,,,,
"äiji","subst","bestefar","m","-","-",,,,,,,,,
"harakka","subst","skjur","f","haraka-","-","skjær|e","f",,,,,,,
"hämärä","subst","skumring","f","-","-","skjømning","f",,,,,,,
"lusikka","subst","skje","f","lusika-","-","skjesluk","m",,,,,,,
"terotus","subst","slipning","f","terotukse-","-",,,,,,,,,
"syy","subst","grunn","m","-","-","skyld","m","årsak","m",,,,,
"kärmet","subst","orm","m",,,"slange","m",,,,,"kärmhee-","-",
"tappaminen","subst","dreping – a",,"tappamise-","tappamis-","slakting","f",,,,,,,
"kallokat","subst","skaller",,"kallokaitte-","kallokai-",,,,,,,,,
"kirjotus","subst","skrivning","f","kirjotukse-","-","skrift","m",,,,,,,
"haara","subst","grein","f","-","-","skrev","n",,,,,,,
"taras","subst","hage","m","tarhaa-","-","inngjerding","f",,,,,,,
"rinnet","subst","li","f","rinthee-","-","skråning","m",,,,,,,
"teknikki","subst","teknikk","m","tekniki-","-",,,,,,,,,
"faaki","subst","fag","n","faaki-","-",,,,,,,,,
"siipi","subst","ving","f","siive-",,"siippe-",,"ljåving?",,,,,,
"puðas","subst","bielv","f","puthaa-","-","sidegrein","m","sund","n",,,,,
"merenranta","subst","havstrand","f","merenranna-","merenrantta-","sjøkant","m",,,,,,,
"meri","subst","hav","n","mer-","mer-","sjø","m",,,,,,,
"kuola","subst","fråde","m","-","-","sikl","n",,,,,,,
"perkelet","subst","djevel","m","perkelhee-",,"satan","-",,,,,,,
"näkö","subst","syn","n","nävö-","näkkö-","lys","n",,,,,,,
"rekrytti","subst","rekrutt","m","rekryti-","-",,,,,,,,,
"kausi","subst","tidsperiode","m","kauðe-","kaut-","sesong","m",,,,,,,
"kevättalvi","subst","vårvinter","m","kevättalve-","kevättalve-","senvinter","m",,,,,,,
"parta","subst","bart","m","parra-","partta-","skjegg","n",,,,,,,
"vuota","subst","hud","m","vuoða-","vuot-","skinn","n",,,,,,,
"kakkonen","subst","andre",,"kakkose-","kakkos-",,,,,,,,,
"manteliputaatti","subst","mandelpotet","m","manteliputati-","-",,,,,,,,,
"makkara","subst","pøls|e","f","-","-",,,,,,,"pölsi",,
"ryti","subst","bambus","m","ryði-","rytti-",,,,,,,,,
"ittenäisyys","subst","selvstendighet",,"ittenäisyyðe-","ittenäisyyt-","sjølstendighet",,,,,,,,
"luoja","subst","skaper","m","-","-",,,,,,,,,
"tyvi","subst","tykkende","m","tyve-","tyvve-",,,,,,,,,
"piletti","subst","billett","m","pileti-","-",,,,,,,,,
"kerstet","subst","skar|e","f","kersthee-","-","skaresnø","m",,,,,,,
"vuoro","subst","tur","m","-","-","skift","n",,,,,,,
"rippilapsi","subst","konfirmant","m","rippilapse-","rippilas-",,,,,,,,,
"etunimi","subst","fornavn","n","etunime-","etunimme-",,,,,,,,,
"tyristi","subst","turist","m","-","-",,,,,,,,,
"flaku","subst","flagg","n","flavu-","flakku-",,,,,,,,,
"konet","subst","redskap","m","konhee-","-",,,,,,,,,
"tietotelefuuni","subst","opplysningstelefon","m","-","-",,,,,,,,,
"haarukka","subst","skrev","n","haaruka-","-",,,,,,,,,
"pulettija","subst","politi","n","-","-",,,,,,,,,
"mätäs","subst","stor tue","f","mäthää-","-",,,,,,,,,
"krammi","subst","gram","n","-","-",,,,,,,,,
"matkustaja","subst","reisende",,"-","-",,,,,,,,,
"muta","subst","slam","n","muða-","mutta-","mudder","n",,,,,,,
"pato","subst","stengsel","m","paðo-","patto-","demning","f",,,,,,,
"syöttö","subst","agn","n","syötö-","-","mating","f",,,,,,,
"tienasti","subst","tjeneste","m","-","-",,,,,,,,,
"Unkaarni","subst","Ungarn",,"-","-",,,,,,,"Unkari",,
"assii","subst","sak","f","-","-",,,,,,,,,
"miila","subst","mil","f","-","-",,,,,,,"peninkulma",,
"myrkytys","subst","forgiftning","f","myrkytykse-","-",,,,,,,,,
"sotapalvelus","subst","militærtjeneste","m","sotapalvelukse-","-",,,,,,,,,
"taivas","subst","himmel","m","taivhaa-","-",,,,,,,,,
"marjamaa","subst","bærmark","f","-","-",,,,,,,,,
"ulkoilma","subst","friskluft","f","-","-",,,,,,,,,
"persuuna","subst","person","m","-","-",,,,,,,"henki",,
"räkälapsi","subst","snørrunge","m","räkälapse-","räkälas-",,,,,,,,,
"aviisi","subst","avis","f","-","aviissi-",,,,,,,,,
"paana","subst","bane","m","-","-",,,,,,,,,
"putaatinkuori","subst","potetskrell","n","putaatinkuore-","putaatinkuor-",,,,,,,,,
"muna","subst","testikkel","m","-","munna-",,,,,,,"mulkku",,
"urunsoittaaja","subst","organist","m","-","-",,,,,,,,,
"vastalet","subst","motbakke","m","vastalhee-","-",,,,,,,"vastaluokka",,
"postilähätys","subst","postforsendelse","m","postilähätykse-","-",,,,,,,,,
"saavi","subst","stamp","m","saave-","saave-",,,,,,,"tamppu",,
"pakkaus","subst","innpakning","f","pakkaukse-",,,"-",,,,,,,
"keksu","subst","kjeks","m","-",,"-",,,,,,,,
"poromies","subst","reingjeter","m","poromiehe-","-",,,,,,,,,
"putaattilaari","subst","potetbing|e","f","putaattilaare-","-",,,,,,,,,
"solmi","subst","knute","m","solme-","solme-",,,,,,,,,
"kirvheenterä","subst","øksegg","m","-","kirvheenterrä-",,,,,,,,,
"listet","subst","trelist","f","listhee-","-","gerikt","m",,,,,,,
"perunakukkaro","subst","pengepung","m","-","-",,,,,,,,,
"villatröijy","subst","ulltrøy|e","f","-","-","genser","m",,,,,,,
"silta","subst","bru","f","silla-","siltta-",,,,,,,,,
"vuosipalkka","subst","årslønn","f","vuosipalka-","-",,,,,,,,,
"ulkohuonet","subst","uthus","n","ulkohuonhee-","-",,,,,,,,,
"alkupää","subst","begynnelse","m","-","-",,,,,,,,,
"heinäkuorma","subst","høylass","n","-","-",,,,,,,,,
"ruoho","subst","høy","n","-","-","gress","n",,,,,"ruuho",,
"toorni","subst","tårn","n","-","-",,,,,,,,,
"liima","subst","lim","n","-","-",,,,,,,,,
"sekotus","subst","blanding","f","sekotukse-","-",,,,,,,,,
"hermotauti","subst","nervesydom –men",,"hermotauði-","hermotautti-",,,,,,,,,
"kuivaliha","subst","tørrkjøtt","n","kuivalihha-",,"tørkakjøtt","n",,,,,,,
"itku","subst","gråt","m","-","-",,,,,,,,,
"jää","subst","is","m","-","-",,,,,,,,,
"onni","subst","lykk|e","f","onne-","onne-","hell","n","flaks","m",,,,,
"pisto","subst","stikk","n","-","-",,,,,,,,,
"keskimäärä","subst","gjennomsnitt","n","-","-",,,,,,,,,
"mökki","subst","lite hus",,"möki-","-","hytt|e","f",,,,,"hyttä",,
"kiharatukka","subst","krøllet hår",,"kiharatuka-","-",,,,,,,,,
"kivitörmä","subst","steinbakke","m","-","-",,,,,,,,,
"juoksu","subst","løp","n","-","-",,,,,,,,,
"päivä","subst","dag","m","-","-",,,,,,,,,
"tiukku","subst","bjell|e","f","tiuku-","-",,,,,,,"tiuku",,
"pohjastuuli","subst","nordavind","m","pohjastuule-","pohjastuul-",,,,,,,,,
"ahneus","subst","gjerrighet","f","ahneukse-","-",,"-",,,,,,,
"meetteri","subst","meter","m","-","-",,,,,,,,,
"Pohjantähti","subst","Nordstjern|e","f","Pohjantähðe-","Pohjantähte-",,,,,,,,,
"luistin","subst","skøyt|e","f","luistime-","-",,,,,,,,,
"sovinto","subst","overenskomst","m","sovinno-","sovintto-",,,,,,,,,
"markka","subst","mark","m","marka-",,"kvart kilo kaffe","-",,,,,,,
"lapsenlapsi","subst","barnebarn","n","lapsenlapse-","lapsenlas-",,,,,,,,,
"saukko","subst","oter","m","sauko-","-",,,,,,,,,
"perintö","subst","arv","m","perinnö-","perinttö-",,,,,,,,,
"hamheenhelma","subst","skjørtekant","m","-","-",,,,,,,,,
"verrääjä","subst","grind","f","-","-","port","m",,,,,"vörrääja",,
"siirtolintu","subst","trekkfugl","m","siirtolinnu-","siirtolinttu-",,,,,,,,,
"luppo","subst","liten dal","m","lupo-","-","gjel","n",,,,,,,
"kaalamasija","subst","vadested","n","-","-",,,,,,,,,
"leikki","subst","lek","m","leiki-","-",,,,,,,,,
"niska","subst","nakke","m","-","-",,,,,,,,,
"sluuka","subst","sluk","m","sluuka-","sluukka-",,,,,,,"uistin",,
"mahla","subst","sevj|e","f","-","-",,,,,,,,,
"karvottaat","subst","røyte",,"karvota-","-",,,,,,,,,
"hauta","subst","grav","f","hauða-","hautta-",,,,,,,,,
"ränni","subst","renn|e","f","-","-",,,,,,,,,
"höyhen","subst","dun","n","höyheme-","-","fjær","f",,,,,,,
"roska","subst","rusk","n","-","-",,,,,,,,,
"loimi","subst","hestedekken","n","loime-","loime-",,,,,,,,,
"histuuria","subst","histori|e","f","-","-",,,,,,,,,
"ahvento","subst","uer","m","ahvenno-","ahventto-",,,,,,,"meriahven",,
"frakki","subst","frakk","m","fraki-","-",,,,,,,,,
"kotielläin","subst","husdyr","n","kotiellaime-","-",,,,,,,,,
"pitkesenkorento","subst","øyenstikker","m","pitkesenkorenno-","pitkesenkorentto-",,,,,,,,,
"teparttimentti","subst","departement","n","teparttimenti-","-",,,,,,,,,
"peto","subst","rovdyr","n","peðo-","petto-",,,,,,,,,
"verotus","subst","beskatning","f","verotukse-","-",,,,,,,,,
"kuski","subst","kusk","m","-","-",,,,,,,,,
"merkkipäivä","subst","merkedag","m","-","-",,,,,,,,,
"killeri","subst","fell|e","f","-","-",,,,,,,,,
"enturi","subst","avsides liggende sted",,"-","-",,,,,,,"Mene enturhiin",,
"krapu","subst","skraping","f","kravu-",,,"-",,,,,,,
"pännä","subst","penn","m","-","-",,,,,,,"kynä",,
"pakko","subst","tvang","m","pako-","-",,,,,,,,,
"mailma","subst","verden","m","-","-",,,,,,,,,
"kenkä","subst","sko","m","kengä-","kenkkä-",,,,,,,,,
"uskonto","subst","religion","m","uskonno-","uskontto-",,,,,,,,,
"köökki","subst","kjøkken","n","kööki-","-",,,,,,,,,
"mänty","subst","ungfuru","f","männy-","mäntty-",,,,,,,,,
"saali","subst","sal","m","-","-",,,,,,,,,
"opetus","subst","undervisning","f","opetukse-","-",,,,,,,,,
"kesä","subst","sommer","m","-","kessä-",,,,,,,"suvi",,
"kirpputori","subst","loppemarked","n","-","kirpputorri-",,,,,,,,,
"elo","subst","hjord","m","-","ello-",,,,,,,,,
"verta","subst","mengde","m","verra-","vert-",,,,,,,,,
"tiima","subst","time","m","-","-",,,,,,,,,
"kala","subst","fisk","m","-","kalla-",,,,,,,,,
"krouvityö","subst","grovarbeid","n","-","-",,,,,,,,,
"pono(jää)","subst","dobbelis","m","-","-",,,,,,,,,
"kalastus","subst","fiske","n","kalastukse-","-",,,,,,,,,
"parkki","subst","bark","m","parki-","-",,,,,,,,,
"rapakko","subst","gjørm|e","f","rapako-","-","gjørmested","n",,,,,,,
"epäjumala","subst","avgud","m","-","-",,,,,,,,,
"vierimä","subst","ras","n","-","-","skred","n",,,,,,,
"kristinusko","subst","kristendom –men",,"-","-",,,,,,,,,
"konsertti","subst","konsert","m","konserti-","-",,,,,,,,,
"hevonen","subst","hest","m","hevose-","hevos-",,,,,,,,,
"lehmän raakku","subst","kuskjell","n","-","-",,,,,,,"raakku",,
"kesäkuu","subst","sommermåned","m","-",,"juni",,,,,,,,
"prosentti","subst","prosent","m","prosenti-","-",,,,,,,,,
"haulikko","subst","haglegevær","n","hauliko-","-",,,,,,,,,
"majuuri","subst","major","m","-","-",,,,,,,,,
"tynamiitti","subst","dynamitt","m","tynamiiti-","-",,,,,,,"miitti",,
"rykiminen","subst","brunst","m","rykimise-","rykimis-",,,,,,,,,
